Ondřej;11/30
Oskar;8/1
Otakar;8/27
Otmar;11/16
Oto;4/26
Otto;4/26
Otýlie;1/28
Památka zesnulých;11/2
Pankrác;5/12
Patricie;7/2
Patrik;2/19
Pavel;6/29
Pavla;6/22
Pavlína;8/31
Pavol;6/29
Peter;6/29
Petr;6/29
Petra;8/17
Pravoslav;1/12
Prokop;7/4
Přemysl;5/16
Radan;12/15
Radana;12/15
Radek;3/21
Radim;8/25
Radka;9/14
Radmila;1/3
Radomír;7/3
Radomíra;7/3
Radoslav;5/6
Radovan;1/14
Radúz;12/10
Rastislav;1/13
Regina;9/7
Regína;9/7
Renata;10/13
Renáta;10/13
René;11/28
Richard;4/3
Robert;4/29
Robin;1/30
Roland;6/14
Roman;8/9
Romana;11/18
Rostislav;4/19
Rudolf;4/17
Růt;3/14
Růžena;3/13
Řehoř;3/12
Sabina;10/22
Samuel;9/1
Sandra;8/23
Sára;10/9
Saskie;11/7
Saša;4/21
Sáva;11/14
Sebastian;1/20
Servác;5/13
Silvestr;12/31
Silvia;10/29
Silvie;10/29
Simona;12/12
Slávek;1/22
Slavěna;2/12
Slávka;2/12
Slavo;1/22
Slavoj;6/7
Slavomír;1/22
Soběslav;8/8
Soňa;3/28
Stanislav;5/7
Stanislava;6/9
Stela;3/4
Svatava;5/11
Svátekpráce;5/1
Svatopluk;2/23
Svatoslav;12/3
Světlana;3/20
Sylva;10/29
Sylvie;10/29
Šárka;6/30
Šarlota;10/27
Šimon;12/22
Šimona;12/12
Štefan;10/9
Štěpán;12/26
Štěpánka;10/31
Tadeáš;10/30
Tamara;6/3
Tatiana;3/29
Taťána;3/29
Tea;10/23
Teodor;10/23
Tereza;10/15
Terezie;10/15
Tibor;11/13
Tomáš;3/7
Tři králové;1/6
Upálení mistra Jana Husa;7/6
Valdemar;5/27
Valentýn;2/14
Valérie;4/18
Vanda;2/6
Vavřinec;8/10
Vašek;9/28
Václav;9/28
Václava;9/28
Věnceslav;2/13
Vendelín;10/20
Vendula;4/6
Věra;10/8
Veronika;2/7
Věroslav;7/27
Viktor;7/28
Viktorie;3/10
Vilém;5/28
Vilma;1/7
Vincenc;4/14
Viola;5/25
Vít;6/15
Vítězslav;7/21
Vladan;1/9
Vladěna;8/30
Vladimír;5/23
Vladimíra;5/23
Vladislav;1/18
Vlaďka;1/9
Vlasta;12/23
Vlastimil;3/17
Vlastislav;4/28
Vojta;4/23
Vojtěch;4/23
Vratislav;12/9
Xenie;11/27
Založení ČSR;10/28
Zbyněk;6/16
Zbyšek;5/20
Zdeněk;1/23
Zdeňka;6/23
Zdislava;1/29
Zikmund;5/2
Zina;11/29
Zita;9/19
Zlata;9/25
Zoe;10/27
Zora;1/26
Zuzana;8/11
Žaneta;12/27
Žofie;5/15
